action_id,screen,button_label,roles,visible_when,action_description,api,expected_result,audit_required,confirmation_required,reason_required,notification,error_state,priority
ACT-033,Monthly Services Admin,Edit Service,Admin,Admin has services.edit and service exists,Create a future-effective service revision,PUT /services/monthly/{id},Future records use the revision and history is preserved,Yes,No,No,No,Immutable code or invalid rate/hours or version conflict,P0
ACT-034,One-Time Services Admin,Add Service,Admin,Admin has services.create,Create a one-time service and initial revision,POST /services/one-time,Service becomes available for future pricing when active,Yes,No,No,No,Duplicate code or invalid price/duration,P0
ACT-035,One-Time Services Admin,Edit Service,Admin,Admin has services.edit and service exists,Create a future-effective one-time service revision,PUT /services/one-time/{id},Future records use the revision and history is preserved,Yes,No,No,No,Historical snapshot conflict or invalid fields,P0
ACT-036,One-Time Services Admin,Disable Service,Admin,Service is active,Disable future selection without deleting history,PATCH /services/one-time/{id}/disable,Service is hidden from future pricing,Yes,Yes,Yes,No,Already disabled or history preservation failure,P0
ACT-037,One-Time Services Admin,Manage Phases and Deliverables,Admin,Service exists and Admin has services.edit,Replace versioned phase and deliverable templates,PUT /services/one-time/{id}/template,Future projects use the updated template,Yes,No,No,No,Missing mandatory deliverable or version conflict,P0
ACT-038,Service Items Admin,Edit Item,Admin,Item exists and Admin has service_items.edit,Create a future-effective service-item revision,PUT /service-items/{id},Future cards and requests use the revision,Yes,No,No,No,Immutable code or invalid service link,P0
ACT-039,Service Items Admin,Disable Item,Admin,Item is active,Disable future item selection,PATCH /service-items/{id}/disable,Item is hidden from future cards while history remains,Yes,Yes,Yes,No,Historical records cannot be mutated,P0
ACT-040,Service Items Admin,Assign to Levels,Admin,Item and levels exist,Update the item-level matrix transactionally,PUT /service-items/{id}/levels,Future cards use the updated inclusion matrix,Yes,No,No,No,Invalid level or matrix consistency failure,P0
ACT-041,Service Levels Admin,Save Level,Admin,Admin has service_levels.edit,Save labels SLA priority and customization rules,PUT /service-levels/{id},Future service configuration uses the updated level,Yes,No,Custom only,No,Invalid SLA/hours or missing Custom reason,P0
ACT-042,Pricing Rules Admin,Save Rule,Admin,Admin has pricing_rules.edit,Create a future-effective pricing-rule revision,PUT /pricing-rules/{id},Future calculations use the revision,Yes,Yes,Yes,No,Invalid formula overlap or version conflict,P0
ACT-043,Hours Rules Admin,Save Rule,Admin,Admin has hours_rules.edit,Create a future-effective hours-rule revision,PUT /hours-rules/{id},Future deductions use the revision,Yes,Yes,Yes,No,Invalid limits or deduction policy,P0
ACT-044,Users and Permissions,Manage Role Permissions,Admin,Role exists and protected Admin access remains,Update role permissions and invalidate authorization caches,PUT /roles/{id}/permissions,Backend access changes immediately,Yes,Yes,Yes,Yes,Protected Admin lockout or invalid permission,P0
ACT-045,Workflow Builder,Create Workflow,Admin,Admin has workflows.create,Create a draft workflow definition and version,POST /workflows,A draft workflow is available for configuration,Yes,No,No,No,Duplicate code or invalid workflow type,P0
ACT-046,Workflow Builder,Add or Edit State,Admin,Workflow version is draft,Create or update a state in the draft version,PUT /workflow-versions/{id}/states,Draft graph contains the state,Yes,No,No,No,Duplicate state or referenced-state removal,P0
ACT-047,Workflow Builder,Add or Edit Transition,Admin,Workflow version is draft,Create or update a validated transition,PUT /workflow-versions/{id}/transitions,Draft graph contains the transition,Yes,No,No,No,Invalid source/target or unreachable graph,P0
ACT-048,Workflow Builder,Activate Version,Admin,Draft graph is valid,Activate the draft for future records,POST /workflow-versions/{id}/activate,New records pin the activated version,Yes,Yes,Yes,Yes,Invalid graph or active-version conflict,P0
ACT-049,Workflow Builder,Archive Version,Admin,Version is eligible for archive,Archive without affecting pinned records,POST /workflow-versions/{id}/archive,Version is unavailable for new records,Yes,Yes,Yes,No,Version is still required by active records,P0
ACT-050,Platform Settings,Save Settings,Admin,Admin has settings.edit,Update a validated platform-setting group,PUT /settings/{group},Settings are effective according to their version policy,Yes,Sensitive only,Sensitive only,No,Invalid value or unsafe secret handling,P0
ACT-051,PDF Templates,Save Template Draft,Admin,Admin has pdf_templates.edit,Create a versioned PDF template draft,POST /pdf-templates/{id}/versions,Draft is stored for preview and validation,Yes,No,No,No,Missing required field or forbidden token,P0
ACT-052,PDF Templates,Activate Template,Admin,Template draft passes leakage validation,Activate template for future documents,POST /pdf-template-versions/{id}/activate,Future documents use the safe version,Yes,Yes,Yes,No,VAT or internal-field leakage validation failure,P0
ACT-053,Notification Templates,Save Template,Admin,Admin has notification_templates.edit,Create a localized template revision,POST /notification-templates/{id}/versions,Draft template is stored,Yes,No,No,No,Missing locale or invalid placeholder,P0
ACT-054,Notification Templates,Enable or Disable,Admin,Template exists,Change future delivery behavior,PATCH /notification-templates/{id}/status,Future events respect the new status,Yes,Yes,Yes,No,Required system template cannot be disabled,P0
ACT-055,Localization Labels,Save Label,Admin,Admin has localization.edit,Update a draft translation value,PUT /localization/{key}/{locale},Draft translation is stored,Yes,No,No,No,Missing key/locale or invalid placeholder,P0
ACT-056,Localization Labels,Publish Revision,Admin,All required translations are present,Publish a localization revision,POST /localization/revisions/{id}/publish,Future sessions use the revision,Yes,Yes,Yes,No,Required translation is missing,P0
ACT-057,Catalog Admin,Reorder Entry,Admin,Entry exists and Admin has catalog.edit,Persist a new display order,PATCH /catalog/{type}/{id}/order,Admin and pricing lists use the new order,Yes,No,No,No,Invalid or conflicting order,P1
ACT-058,Catalog Admin,Archive Entry,Admin,Entity is history-safe for archive,Archive without hard deletion,POST /catalog/{type}/{id}/archive,Entity is unavailable for future use and history remains,Yes,Yes,Yes,No,Active dependency prevents archive,P0
ACT-059,Monthly Services Admin,Add Service,Admin,Admin has monthly-services management permission,Create a stable monthly service and initial revision,POST /services/monthly,Service is stored as Draft or Active without changing seed history,Yes,No,No,No,Duplicate code or invalid category hours or rates,P0
ACT-060,Monthly Services Admin,Change Service Status,Admin,Service exists and transition is valid,Enable disable or archive future service selection,PATCH /services/monthly/{id}/status,Future selection respects the new status and prior revisions remain pinned,Yes,Yes,Yes,No,Invalid transition or active item dependency,P0
ACT-061,Monthly Categories Admin,Add Category,Admin,Admin has monthly-services management permission,Create an editable monthly service category,POST /admin/catalog/categories,Category is available for future service assignment,Yes,No,No,No,Duplicate code or missing localized names,P0
ACT-062,Monthly Categories Admin,Edit Category,Admin,Category exists,Update localized labels and description,PUT /admin/catalog/categories/{id},Catalog navigation uses the updated category,Yes,No,No,No,Immutable code or invalid localized names,P0
ACT-063,Monthly Categories Admin,Change Category Status,Admin,Category exists and has no incompatible active services,Enable disable or archive the category,PATCH /admin/catalog/categories/{id}/status,Future catalog use respects the status while history remains,Yes,Yes,Yes,No,Active service dependency or invalid transition,P0
ACT-064,Service Items Admin,Add Item,Admin,Parent monthly service is eligible,Create a stable service item and initial revision,POST /service-items,Item is available according to its lifecycle and package matrix,Yes,No,No,No,Duplicate code invalid parent or invalid level matrix,P0
ACT-065,Service Items Admin,Change Item Status,Admin,Item exists and transition is valid,Enable disable or archive future item selection,PATCH /service-items/{id}/status,Future cards respect status and historical snapshots remain unchanged,Yes,Yes,Yes,No,Invalid transition or inactive parent service,P0
ACT-066,Service Levels Admin,Add Level,Admin,Admin has service-level management permission,Create a configurable package level,POST /service-levels,Level becomes available for future hours and inclusion configuration,Yes,No,Custom only,No,Duplicate code or missing localized labels,P1
ACT-067,Service Levels Admin,Change Level Status,Admin,Level has no incompatible active dependency,Enable disable or archive the package level,PATCH /service-levels/{id}/status,Future configuration respects the status and pinned records remain valid,Yes,Yes,Yes,No,Active service subscription or item dependency,P0
